frame_num,Area
118,12018.0
119,17019.5
120,17237.0
121,17039.5
122,17065.5
123,17399.5
124,17914.5
125,17580.5
126,18023.0
127,18243.5
128,18334.5
129,21272.5
130,16875.5
131,21682.5
132,22184.5
133,22657.5
134,22772.5
135,24159.5
136,24677.5
137,25203.5
138,25645.5
139,26181.0
140,26521.0
141,26959.5
142,27373.0
143,27693.5
144,28093.5
145,28456.0
146,28837.5
147,29191.5
148,29514.5
149,29876.0
150,30196.5
151,30698.5
152,31054.5
153,31204.5
154,31392.0
155,31735.0
156,31975.0
157,32222.0
158,32483.5
159,32832.5
160,33083.0
161,33367.0
162,33701.5
163,33933.5
164,34155.0
165,34453.5
166,34670.0
167,34883.0
168,35195.5
169,35447.5
170,35646.5
171,35989.5
172,36187.5
173,36384.0
174,36638.5
175,36888.5
176,37196.5
177,37451.0
178,37626.0
179,37923.0
180,38197.0
181,38685.5
182,38914.0
183,39013.5
184,39135.5
185,39357.0
186,39574.0
187,39699.5
188,39962.5
189,40187.0
190,40353.5
191,40531.5
192,40755.5
193,41032.5
194,41262.5
195,41458.5
196,41612.5
197,41852.0
198,42011.5
199,42204.5
200,42451.0
201,42691.0
202,42801.0
203,43030.0
204,43186.5
205,43335.5
206,43592.0
207,43760.5
208,43923.0
209,44138.5
210,44376.5
211,44754.5
212,44979.0
213,45036.0
214,45105.5
215,45230.5
216,45429.0
217,45540.5
218,45642.0
219,45955.5
220,46060.5
221,46210.5
222,46371.5
223,46549.0
224,46675.0
225,46865.0
226,47166.5
227,47488.5
228,47698.0
229,48115.0
230,48345.5
231,48561.5
232,48945.5
233,49297.0
234,49445.0
235,49583.5
236,49824.5
237,49908.0
238,50072.5
239,50285.5
240,50425.5
241,50676.0
242,50847.0
243,51057.0
244,51111.5
245,51193.0
246,51312.0
247,51358.0
248,51585.5
249,51701.5
250,51876.0
251,52020.5
252,52230.0
253,52335.0
254,52527.5
255,52625.5
256,52757.0
257,52877.0
258,53031.5
259,53235.5
260,53351.5
261,53462.0
262,53618.0
263,53794.0
264,53910.5
265,54100.5
266,54309.0
267,54435.0
268,54565.0
269,54768.0
270,54929.5
271,55240.5
272,55411.0
273,55717.5
274,55769.5
275,55902.0
276,56001.0
277,56093.5
278,56210.0
279,56344.0
280,56463.0
281,56614.5
282,56779.0
283,56909.5
284,57064.5
285,57159.5
286,57336.0
287,57624.5
288,57762.0
289,57956.0
290,58269.0
291,58406.5
292,58527.0
293,58615.5
294,58761.0
295,58939.0
296,59193.5
297,59379.5
298,59472.0
299,59736.5
300,59868.0
301,60404.5
302,60560.5
303,60742.0
304,60804.5
305,60974.5
306,61028.5
307,61194.0
308,61312.5
309,61406.5
310,61560.5
311,61719.5
312,61764.5
313,61938.0
314,62044.5
315,62334.5
316,62432.5
317,62645.0
318,62907.0
319,63050.5
320,63364.0
321,63486.5
322,63540.5
323,63788.0
324,63829.0
325,63966.0
326,64052.0
327,64266.5
328,64372.5
329,64513.5
330,64618.5
331,64883.5
332,65063.0
333,65335.0
334,65325.0
335,65272.0
336,65417.5
337,65404.0
338,65466.0
339,65496.5
340,65614.5
341,65738.5
342,65849.5
343,66055.5
344,65978.0
345,66037.5
346,66243.0
347,66428.0
348,66570.0
349,66657.0
350,66686.0
351,66858.5
352,66883.5
353,66981.0
354,67087.0
355,67171.5
356,67342.0
357,67386.0
358,67483.5
359,67611.5
360,67579.5
361,67558.5
362,67781.0
363,68112.0
364,68146.0
365,68154.0
366,68223.0
367,68353.5
368,68467.0
369,68545.0
370,68763.5
371,68739.0
372,68901.5
373,69096.5
374,69151.0
375,69245.0
376,69427.0
377,69541.5
378,69807.0
379,70031.0
380,70143.5
381,70136.0
382,70337.5
383,70504.5
384,70707.0
385,70960.0
386,70963.5
387,71080.0
